"","game_str","play_id","ball_end_x","ball_end_y","player_position","field_pitch_x","field_pitch_y","airTime","year","success","distance","angle","Direction","Back","player","teamGame"
"1","1901_01_TeamLG_TeamA3",3,-0.0537,11.5167,7,-114.5034,250.1232,0.5,1901,"0",264.635212457337,1.03,"In","0","5626","A3"
"2","1901_01_TeamLG_TeamA3",3,-0.0537,11.5167,8,-0.7437,305.0451,0.5,1901,"0",293.529210993659,0.01,"In","0","9871","A3"
"3","1901_01_TeamLG_TeamA3",3,-0.0537,11.5167,9,127.0503,248.6841,0.5,1901,"0",269.079546674882,1.13,"In","0","7927","A3"
"4","1901_01_TeamLG_TeamA3",37,-195.1578,239.6832,7,-108.2757,253.9416,3.5,1901,"0",88.0443142455548,103.77,"Side","0","5626","A3"
"5","1901_01_TeamLG_TeamA3",37,-195.1578,239.6832,8,-3.357,305.1975,3.5,1901,"0",202.681203827908,71.77,"Side","0","9871","A3"
"6","1901_01_TeamLG_TeamA3",37,-195.1578,239.6832,9,127.1064,251.7447,3.5,1901,"0",322.48983609393,61.07,"Side","0","7927","A3"
"7","1901_01_TeamLG_TeamA3",62,19.60875,164.5422,7,-110.1282,256.4964,1.75,1901,"0",159.019656309975,31.44,"In","0","1923","A3"
"8","1901_01_TeamLG_TeamA3",62,19.60875,164.5422,8,1.0356,302.9454,1.75,1901,"0",139.643860126976,7.84,"In","0","1721","A3"
"9","1901_01_TeamLG_TeamA3",62,19.60875,164.5422,9,126.6216,251.3247,1.75,1901,"0",137.778635395233,24.22,"In","0","1851","A3"
"10","1901_01_TeamLG_TeamA3",75,135.6615,237.3273,9,136.7784,249.9882,6.55,1901,"1",12.7100690171218,23.64,"In","0","7927","A3"
"11","1901_01_TeamLG_TeamA3",93,52.7628,193.0356,7,-98.8011,276.6357,2.5,1901,"0",173.091283729771,41.47,"In","0","1923","A3"
"12","1901_01_TeamLG_TeamA3",93,52.7628,193.0356,8,27.7149,312.9966,2.5,1901,"0",122.548108167405,16.85,"In","0","1721","A3"
"13","1901_01_TeamLG_TeamA3",93,52.7628,193.0356,9,129.9645,253.3248,2.5,1901,"0",97.9535099908625,24.85,"In","0","1851","A3"
"14","1901_01_TeamLG_TeamA3",101,60.9726,195.8109,9,131.5035,254.7906,6.45,1901,"1",91.9413555855035,22.8,"In","0","1851","A3"
"15","1901_01_TeamLG_TeamA3",126,1.6065,4.8099,7,-126.2862,248.2752,0.45,1901,"0",275.012536109502,0.75,"In","0","5626","A3"
"16","1901_01_TeamLG_TeamA3",126,1.6065,4.8099,8,14.2236,303.6204,0.45,1901,"0",299.076756239364,0.26,"In","0","9871","A3"
"17","1901_01_TeamLG_TeamA3",126,1.6065,4.8099,9,139.3089,253.4412,0.45,1901,"0",284.217301207105,0.18,"In","0","7927","A3"
"18","1901_01_TeamLG_TeamA3",134,89.7816,241.6437,9,138.6636,239.7486,3.65,1901,"1",48.9187216514291,62.18,"Side","0","7927","A3"
"19","1901_01_TeamLG_TeamA3",146,-84.738,278.553,7,-109.584,257.4453,6.3,1901,"1",32.6015140030337,107.29,"Side","0","5626","A3"
"20","1901_01_TeamLG_TeamA3",150,135.9852,152.0217,7,-116.2233,251.8743,2.25,1901,"0",271.255726573671,43.63,"In","0","1923","A3"
"21","1901_01_TeamLG_TeamA3",150,135.9852,152.0217,8,6.8265,312.4116,2.25,1901,"0",205.929332072194,40.1,"In","0","1721","A3"
"22","1901_01_TeamLG_TeamA3",150,135.9852,152.0217,9,131.4291,254.79,2.25,1901,"0",102.869244830999,29.82,"In","0","1851","A3"
"23","1901_01_TeamLG_TeamA3",152,77.172,225.2835,7,-107.0097,256.3782,2.5,1901,"0",186.788058994626,57.76,"Side","0","1923","A3"
"24","1901_01_TeamLG_TeamA3",152,77.172,225.2835,8,22.7034,306.2112,2.5,1901,"0",97.550607446853,38.18,"In","0","1721","A3"
"25","1901_01_TeamLG_TeamA3",152,77.172,225.2835,9,124.0647,248.7294,2.5,1901,"0",52.4274311796792,36.93,"In","0","1851","A3"
"26","1901_01_TeamLG_TeamA3",202,-47.9688,265.5042,7,-109.9977,263.5569,6.6,1901,"1",62.059458686811,69.14,"Side","0","1923","A3"
"27","1901_01_TeamLG_TeamA3",207,-0.317127,271.6158,8,8.8911,303.8235,3.25,1901,"1",33.4981698570762,14.28,"In","0","1721","A3"
"28","1901_01_TeamLG_TeamA3",212,-166.4175,194.7987,7,-126.7323,244.2072,2.65,1901,"0",63.3728251799618,66.2,"Side","0","5626","A3"
"29","1901_01_TeamLG_TeamA3",212,-166.4175,194.7987,8,-9.5046,297.4695,2.65,1901,"0",187.517869439288,58.63,"Side","0","9871","A3"
"30","1901_01_TeamLG_TeamA3",212,-166.4175,194.7987,9,126.8835,238.0629,2.65,1901,"0",296.474733497882,53.55,"Side","0","7927","A3"
"31","1901_01_TeamLG_TeamA3",227,65.9781,153.1431,7,-101.0844,268.1214,1.85,1901,"0",202.805050176617,34.81,"In","0","5626","A3"
"32","1901_01_TeamLG_TeamA3",227,65.9781,153.1431,8,13.3662,308.5431,1.85,1901,"0",164.064536148462,21.18,"In","0","9871","A3"
"33","1901_01_TeamLG_TeamA3",227,65.9781,153.1431,9,126.1023,252.3906,1.85,1901,"0",116.038724923579,4.66,"In","0","7927","A3"
"34","1901_01_TeamLG_TeamA3",230,-58.1412,282.4758,7,-114.5007,245.5962,4,1901,"0",67.3535309869497,98.2,"Side","0","1923","A3"
"35","1901_01_TeamLG_TeamA3",230,-58.1412,282.4758,8,15.4929,304.4937,4,1901,"0",76.8555047034368,70.44,"Side","0","1721","A3"
